"Identität";"Nachname";"Vorname";"TF Name";"TF Beschreibung";"AF Anzeigename";"AF Beschreibung";"Höchste Kritikalität TF in AF";"TF Eigentümer Org";"TF Applikation";"TF Kritikalitätskennzeichen";"GF Name";"GF Beschreibung";"Direct Connect";"AF Zugewiesen an Account-Name";"AF Gültig ab";"AF Gültig bis";"AF Zuweisungsdatum"
"xv00002_T";"ExistenterUser";"Tester 2";"1 ist vorhanden BCICS001_1";"TECH Trigger zur Neuanlage CICS-Anwender (keine Berechtigung)";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00005 Technische AF";"CICS - P";"U";"rvg_00005_plattformen_id2";"Standard-Plattformen f�r ID-User";"Nein";"xv00002_T";;;"02.07.2018"
"xv00002_T";"ExistenterUser";"Tester 2";"2 ist vorhanden ctsa_usr";"Anlegen Account f�r LDAP (Dummy-User)";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"ZI-KS-ZB-BM";"LDAP - P";"U";"rvg_00005_plattformen_id2";"Standard-Plattformen f�r ID-User";"Nein";"xv00002_T";;;"02.07.2018"
"xv00002_T";"ExistenterUser";"Tester 2";"3 ist vorhanden #CTSAUSR";"DUMMY-GRUPPE FUER CTSA (UNIVERSAL)";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00005 Technische AF";"RACF - P";"U";"rvg_00005_plattformen_id2";"Standard-Plattformen f�r ID-User";"Nein";"xv00002_T";;;"02.07.2018"
"xv00002_T";"ExistenterUser";"Tester 2";"4 ist vorhanden #NMG0400";"Netmaster-Standardmodell t_nm_std_id_NMG0400_#STD1";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00005 Technische AF";"RACF - P";"u";"rvg_00005_plattformen_id2";"Standard-Plattformen f�r ID-User";"Nein";"xv00002_T";;;"02.07.2018"
"xv00002_T";"ExistenterUser";"Tester 2";"5 gel�scht CN=A_SP_I_MA_AD_VDVVV_TM,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"Intranet VD Nr lesen - Trigger";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00032 Sharepoint";"AD - RUVDE";"K";"rvg_00032_sp_i_ma_ad_vd";"Intranet lesen Aussendienst VD Nr Trigger";"Nein";"xv00002_T";;;"02.07.2018"
"xv00002_T";"ExistenterUser";"Tester 2";"6 gel�scht CN=A_SP_I_MA_MA_INFO,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"Intranet Mitarbeiter-Info lesen";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00032 Sharepoint";"AD - RUVDE";"K";"rvg_00032_sp_i_ma_id";"Intranet lesen Innendienst Basis";"Nein";"xv00002_T";;;"02.07.2018"
"xv00002_T";"ExistenterUser";"Tester 2";"6 gel�scht CN=A_SP_I_MA_MA_INFO,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"Intranet Mitarbeiter-Info lesen";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00032 Sharepoint";"AD - RUVDE";"K";"rvg_00032_sp_i_ma_id";"Intranet lesen Innendienst Basis";"Nein";"xv00002_T";;;"02.07.2018"
"xv00002_T";"ExistenterUser";"Tester 2";"7 gel�scht CN=A_SP_I_MA_PORTAL,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"Intranet freie Seiten lesen";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00032 Sharepoint";"AD - RUVDE";"K";"rvg_00032_sp_i_ma_id";"Intranet lesen Innendienst Basis";"Nein";;;;"02.07.2018"
"xv00002_T";"ExistenterUser";"Tester 2";"8 gel�scht CN=A_SP_I_MA_MA_ID,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"Intranet MA-Info-ID lesen";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00032 Sharepoint";"AD - RUVDE";"K";"rvg_00032_sp_i_ma_id";"Intranet lesen Innendienst Basis";"Nein";;;;"02.07.2018"
"xv00003_T";"L�schUser";"Tester 3";"CN=A_IPC_P_IB,OU=Sicherheitsgruppen,OU=Gruppen,DC=RUV,DC=DE";"IPC Profil Incident-Bearbeiter";"rvm_00889_143_id_ma";"MA-Gruppen-AF: Praktikanten";"K";"00161 HPSM";"AD - RUVDE";"U";"rvg_00161_ipc_p_basis";"IPC Profil Basis";"Nein";"xv00003_T";;;"02.07.2018"
